estrategia,fecha_prueba,n_fechas_entrenamiento,modelo,n_prueba,positivos_prueba,accuracy,precision,recall,f1,f2,roc_auc,pr_auc,verdaderos_negativos,falsos_positivos,falsos_negativos,verdaderos_positivos
encadenado,2025-01-28,1,regresion_logistica,5616,0,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido
encadenado,2025-04-13,2,regresion_logistica,48683,0,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido
encadenado,2025-04-15,3,regresion_logistica,5569,23,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido
encadenado,2025-04-28,4,regresion_logistica,5594,390,0.833572,0.286166,0.928205,0.437462,0.640708,0.95328,0.70435,4301,903,28,362
encadenado,2025-05-13,5,regresion_logistica,47075,0,0.960743,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,45227,1848,0,0
encadenado,2025-07-17,6,regresion_logistica,41498,2,0.999952,0.0,0.0,0.0,0.0,0.949971,0.083574,41496,0,2,0
encadenado,2025-11-21,7,regresion_logistica,24076,3,0.728277,0.000458,1.0,0.000916,0.002288,0.999273,0.078947,17531,6542,0,3
encadenado,2025-11-24,8,regresion_logistica,5588,87,0.053865,0.016189,1.0,0.031862,0.076022,0.979778,0.28206,214,5287,0,87
encadenado,2025-12-29,9,regresion_logistica,35038,2,0.999686,0.153846,1.0,0.266667,0.47619,1.0,1.0,35025,11,0,2
encadenado,2026-01-08,10,regresion_logistica,5605,347,0.970384,0.863454,0.619597,0.721477,0.656689,0.974126,0.812357,5224,34,132,215
encadenado,2026-02-02,11,regresion_logistica,5453,0,0.300752,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,1640,3813,0,0
encadenado,2026-02-07,12,regresion_logistica,5333,0,0.997562,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,5320,13,0,0
encadenado,2026-02-12,13,regresion_logistica,37280,0,0.99992,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,37277,3,0,0
encadenado,2026-03-24,14,regresion_logistica,48565,0,1.0,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,48565,0,0,0
encadenado,2026-03-29,15,regresion_logistica,5614,420,0.96954,0.992095,0.597619,0.745914,0.64925,0.965133,0.897961,5192,2,169,251
encadenado,2026-04-13,16,regresion_logistica,53984,222,0.929979,0.031596,0.540541,0.059701,0.128041,0.93839,0.045739,50084,3678,102,120
encadenado,2026-04-28,17,regresion_logistica,53722,1788,0.975168,0.572803,0.998881,0.728088,0.869523,0.996428,0.894171,50602,1332,2,1786
encadenado,2026-06-19,18,regresion_logistica,5477,3081,0.603798,0.930123,0.319701,0.475845,0.368004,0.8439,0.867827,2322,74,2096,985
encadenado,2026-07-22,19,regresion_logistica,43899,0,0.996469,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,43744,155,0,0
encadenado,2025-01-28,1,random_forest,5616,0,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido
encadenado,2025-04-13,2,random_forest,48683,0,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido
encadenado,2025-04-15,3,random_forest,5569,23,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido
encadenado,2025-04-28,4,random_forest,5594,390,0.934394,0.595041,0.184615,0.2818,0.214158,0.913338,0.470216,5155,49,318,72
encadenado,2025-05-13,5,random_forest,47075,0,1.0,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,47075,0,0,0
encadenado,2025-07-17,6,random_forest,41498,2,0.999952,0.0,0.0,0.0,0.0,0.976636,0.001505,41496,0,2,0
encadenado,2025-11-21,7,random_forest,24076,3,0.999875,0.0,0.0,0.0,0.0,0.999806,0.455556,24073,0,3,0
encadenado,2025-11-24,8,random_forest,5588,87,0.989084,1.0,0.298851,0.460177,0.347594,0.997427,0.906386,5501,0,61,26
encadenado,2025-12-29,9,random_forest,35038,2,0.999943,0.5,0.5,0.5,0.5,0.999957,0.7,35035,1,1,1
